date,slot,total,drive,collab
2025-11-01,8:00,,30,1
2025-11-01,8:30,,28,1
2025-11-01,9:00,,16,1
2025-11-01,9:30,,12,1
2025-11-01,10:00,,11,1
2025-11-01,10:30,,16,1
2025-11-01,11:00,,28,1
2025-11-01,11:30,,35,1
2025-11-01,12:00,,47,1
2025-11-01,12:30,,30,1
2025-11-01,13:00,,17,1
2025-11-01,13:30,,28,1
2025-11-01,14:00,,29,1
2025-11-01,14:30,,10,1
2025-11-01,15:00,,34,1
2025-11-01,15:30,,15,1
2025-11-01,16:00,,31,1
2025-11-01,16:30,,30,1
2025-11-01,17:00,,47,1
2025-11-01,17:30,,35,1
2025-11-01,18:00,,30,1
2025-11-01,18:30,,21,1
2025-11-01,19:00,,19,1
2025-11-01,19:30,,11,1
2025-11-01,20:00,,8,1
2025-11-01,20:30,,0,1
