date,slot,total,drive,collab
2025-11-01,8:00,,34,1
2025-11-01,8:30,,39,1
2025-11-01,9:00,,39,1
2025-11-01,9:30,,43,1
2025-11-01,10:00,,51,1
2025-11-01,10:30,,41,1
2025-11-01,11:00,,40,1
2025-11-01,11:30,,37,1
2025-11-01,12:00,,35,1
2025-11-01,12:30,,26,1
2025-11-01,13:00,,20,1
2025-11-01,13:30,,13,1
2025-11-01,14:00,,18,1
2025-11-01,14:30,,22,1
2025-11-01,15:00,,32,1
2025-11-01,15:30,,22,1
2025-11-01,16:00,,24,1
2025-11-01,16:30,,13,1
2025-11-01,17:00,,28,1
2025-11-01,17:30,,20,1
2025-11-01,18:00,,32,1
2025-11-01,18:30,,25,1
2025-11-01,19:00,,15,1
2025-11-01,19:30,,10,1
2025-11-01,20:00,,5,1
2025-11-01,20:30,,0,1
